season_x,round,pick,team,pfr_player_id,pfr_player_name,position,college,age,to,allpro,probowls,seasons_started,games,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs
2004,6,168,NYG,TaylJa00,Jamaar Taylor,WR,Texas A&M,23,2005,0,0,0,13,6,6,146,0,0,0,0,0,4
2004,6,171,DEN,LukeTr00,Triandos Luke,WR,Alabama,22,2004,0,0,0,10,6,6,52,0,0,0,0,0,3
2004,6,195,KAN,,Jeris McIntyre,WR,Auburn,,,0,0,0,,,,,,,,,,
2004,6,199,BAL,MoorCl00,Clarence Moore,WR,Northern Arizona,21,2006,0,0,0,29,29,29,353,5,0,0,1,0,22
2004,7,206,TAM,JoneMa01,Mark Jones,WR,Tennessee,23,2009,0,0,0,62,3,4,41,0,0,0,60,4,2
2004,7,211,HOU,ThomSl00,Sloan Thomas,WR,Texas,22,2005,0,0,0,1,,,,,,,,,
2004,7,214,BUF,SmitJo00,Jonathan Smith,WR,Georgia Tech,22,2006,0,0,0,18,8,8,77,1,0,0,0,0,4
2004,7,216,DAL,CrayPa00,Patrick Crayton,WR,NW Oklahoma St.,25,2011,0,0,3,105,258,316,3770,26,5,1,2602,1286,183
2004,7,244,BAL,,Derek Abney,WR,Kentucky,,,0,0,0,,,,,,,,,,
2005,1,3,CLE,EdwaBr00,Braylon Edwards,WR,Michigan,22,2012,0,1,5,112,373,521,5841,42,6,4,6378,1604,270
2005,1,7,MIN,WillTr01,Troy Williamson,WR,South Carolina,22,2009,0,0,1,49,87,88,1131,4,1,1,530,247,52
2005,1,10,DET,WillMi03,Mike Williams,WR,USC,21,2011,0,0,2,56,679,1184,9667,65,8,7,14541,2649,457
2005,1,21,JAX,JoneMa00,Matt Jones,WR,Arkansas,22,2008,0,0,1,54,201,207,2661,17,3,2,1321,819,138
2005,1,22,BAL,ClayMa01,Mark Clayton,WR,Oklahoma,23,2011,0,0,5,83,273,337,3617,14,1,1,3337,845,166
