season,round,pick,team,pfr_player_id,pfr_player_name,position,college,allpro,probowls,seasons_started,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions
2003,4,101,HOU,DaviDo01,Domanick Williams,RB,LSU,0,0,3,40,769,3187,23,5,5,142,0,155,155,1284,5,4,3,0,0,60,0
2003,4,105,MIN,SmitOn00,Onterrio Smith,RB,Oregon,0,0,0,26,249,1196,7,3,1,49,0,57,57,573,2,0,0,0,0,32,2
2003,4,108,DEN,GrifQu00,Quentin Griffin,RB,Oklahoma,0,0,0,16,185,716,2,5,3,31,0,20,20,147,1,1,1,0,0,9,0
2003,4,115,CLE,SuggLe00,Lee Suggs,RB,Virginia Tech,0,0,0,29,269,1074,4,8,4,52,0,28,28,204,1,0,0,0,0,6,0
2003,4,132,JAX,ToefLa00,LaBrandon Toefield,RB,LSU,0,0,0,45,163,572,7,0,0,27,0,46,46,277,2,1,1,3,1,20,0
2003,6,206,CHI,ForsBr00,Brock Forsey,RB,Boise St.,0,0,0,16,69,244,2,1,0,14,0,3,3,37,0,0,0,0,0,3,0
2003,7,235,DEN,,Ahmaad Galloway,RB,Alabama,0,0,0,,,,,,,,,,,,,,,,,,
2003,7,236,DET,,Brandon Drumm,RB,Colorado,0,0,0,,,,,,,,,,,,,,,,,,
2003,7,242,PIT,,J.T. Wall,RB,Georgia,0,0,0,,,,,,,,,,,,,,,,,,
2003,7,247,CAR,,Casey Moore,RB,Stanford,0,0,0,,,,,,,,,,,,,,,,,,
2004,1,24,STL,JackSt00,Steven Jackson,RB,Oregon St.,0,3,10,160,2795,11539,70,18,13,545,1,464,558,3680,9,5,2,475,2879,154,1
2004,1,26,CIN,PerrCh00,Chris Perry,RB,Michigan,0,0,0,35,177,604,2,5,3,29,0,90,90,490,2,2,1,15,103,27,0
2004,1,30,DET,JoneKe02,Kevin Jones,RB,Virginia Tech,0,0,4,64,795,3176,24,10,6,155,0,144,144,1011,3,1,1,10,712,44,0
2004,2,41,DEN,BellTa00,Tatum Bell,RB,Oklahoma St.,0,0,1,54,592,2872,17,7,5,126,0,80,80,479,0,3,2,-51,281,17,0
2004,2,43,DAL,JoneJu01,Julius Jones,RB,Notre Dame,0,0,6,94,1322,5243,24,12,10,238,0,158,175,1090,2,0,0,-225,996,52,0
2004,2,55,JAX,JoneGr01,Greg Jones,RB,Florida St.,0,0,5,131,274,928,10,1,0,59,0,74,93,483,3,0,0,125,331,25,0
2004,4,119,MIN,MoorMe00,Mewelde Moore,RB,Tulane,0,0,1,122,522,2325,6,4,3,116,2,227,248,2004,8,2,1,271,1220,87,0
2004,4,128,NWE,CobbCe00,Cedric Cobbs,RB,Arkansas,0,0,0,5,25,59,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0
2004,5,154,SDG,TurnMi00,Michael Turner,RB,Northern Illinois,1,2,5,134,1751,7776,69,15,10,374,0,73,104,545,1,1,1,86,518,19,0
2004,6,191,TEN,FlemTr00,Troy Fleming,RB,Tennessee,0,0,0,29,7,40,0,0,0,2,0,29,29,233,3,0,0,0,0,12,0
2004,7,208,CLE,EcheAd00,Adimchinobe Echemandu,RB,California,0,0,0,19,28,110,0,2,2,5,0,5,5,36,0,0,0,-2,13,1,0
